Hungary,Central and Eastern Europe,6.000,10.249,0.922,67.610,0.719,-0.194,0.893
Thailand,Southeast Asia,5.999,9.742,0.890,67.251,0.905,0.269,0.886
Argentina,Latin America and Caribbean,5.975,9.811,0.901,68.804,0.831,-0.195,0.842
Honduras,Latin America and Caribbean,5.953,8.425,0.822,67.199,0.871,0.087,0.801
Latvia,Central and Eastern Europe,5.950,10.175,0.918,66.807,0.671,-0.187,0.796
Ecuador,Latin America and Caribbean,5.925,9.246,0.836,68.500,0.860,-0.127,0.801
Portugal,Western Europe,5.911,10.264,0.887,72.402,0.889,-0.221,0.893
Jamaica,Latin America and Caribbean,5.890,9.006,0.916,67.100,0.858,-0.125,0.889
South Korea,East Asia,5.872,10.511,0.799,73.603,0.613,-0.043,0.789
Japan,East Asia,5.871,10.580,0.884,75.001,0.810,-0.247,0.655
Peru,Latin America and Caribbean,5.797,9.456,0.831,68.100,0.825,-0.162,0.894
Serbia,Central and Eastern Europe,5.778,9.681,0.881,68.210,0.726,-0.074,0.844
Bolivia,Latin America and Caribbean,5.747,8.851,0.803,63.600,0.876,-0.092,0.823
Pakistan,South Asia,5.693,8.483,0.689,58.253,0.735,0.045,0.746
Paraguay,Latin America and Caribbean,5.692,9.390,0.899,65.640,0.886,0.008,0.835
Dominican Republic,Latin America and Caribbean,5.689,9.665,0.882,65.807,0.866,-0.131,0.756
Bosnia and Herzegovina,Central and Eastern Europe,5.674,9.456,0.829,67.808,0.651,0.098,0.934
Moldova,Commonwealth of Independent States,5.608,8.777,0.843,65.013,0.722,-0.038,0.913
Tajikistan,Commonwealth of Independent States,5.556,8.025,0.835,64.105,0.831,-0.025,0.592
Montenegro,Central and Eastern Europe,5.546,9.752,0.855,68.505,0.650,-0.076,0.783
Russia,Commonwealth of Independent States,5.546,10.129,0.903,64.100,0.730,-0.151,0.865
Kyrgyzstan,Commonwealth of Independent States,5.542,8.148,0.887,64.106,0.909,0.155,0.888
Belarus,Commonwealth of Independent States,5.540,9.780,0.907,66.104,0.639,-0.165,0.636
North Cyprus,Western Europe,5.536,10.406,0.820,73.702,0.795,0.000,0.626
Greece,Western Europe,5.515,10.132,0.814,72.405,0.541,-0.301,0.860
Hong Kong S.A.R. of China,East Asia,5.510,10.935,0.846,76.772,0.780,0.135,0.421
Croatia,Central and Eastern Europe,5.505,10.071,0.875,70.215,0.715,-0.129,0.916
Libya,Middle East and North Africa,5.489,9.790,0.826,62.300,0.773,-0.085,0.669
Mongolia,East Asia,5.456,9.412,0.937,62.304,0.693,0.098,0.864
Malaysia,Southeast Asia,5.384,10.263,0.817,67.102,0.895,0.115,0.839
Vietnam,Southeast Asia,5.353,8.810,0.850,67.953,0.940,-0.095,0.796
Indonesia,Southeast Asia,5.286,9.370,0.808,62.156,0.871,0.520,0.876
Ivory Coast,Sub-Saharan Africa,5.233,8.226,0.658,49.504,0.728,-0.044,0.791
Benin,Sub-Saharan Africa,5.216,7.674,0.469,54.312,0.735,-0.004,0.741
Maldives,South Asia,5.198,9.519,0.913,70.600,0.854,0.038,0.824
Congo (Brazzaville),Sub-Saharan Africa,5.194,8.537,0.640,57.924,0.719,-0.124,0.752
Azerbaijan,Commonwealth of Independent States,5.165,9.688,0.819,65.508,0.787,-0.240,0.553
Macedonia,Central and Eastern Europe,5.160,9.511,0.820,67.504,0.739,-0.020,0.897
Ghana,Sub-Saharan Africa,5.148,8.351,0.729,57.204,0.795,0.094,0.848
Nepal,South Asia,5.137,7.925,0.786,63.779,0.798,0.154,0.738
Turkey,Middle East and North Africa,5.132,10.129,0.826,66.903,0.609,-0.171,0.748
China,East Asia,5.124,9.689,0.799,69.289,0.899,-0.181,0.754
Turkmenistan,Commonwealth of Independent States,5.119,9.748,0.959,62.212,0.826,0.188,0.884
Bulgaria,Central and Eastern Europe,5.102,9.869,0.938,66.804,0.745,-0.144,0.936
Morocco,Middle East and North Africa,5.095,8.940,0.593,65.896,0.772,-0.240,0.816
Cameroon,Sub-Saharan Africa,5.085,8.119,0.700,52.705,0.763,-0.001,0.851
Venezuela,Latin America and Caribbean,5.053,8.978,0.890,66.505,0.623,-0.169,0.837
Algeria,Middle East and North Africa,5.005,9.538,0.803,65.905,0.467,-0.121,0.735
Senegal,Sub-Saharan Africa,4.981,8.119,0.724,59.599,0.691,-0.052,0.809
Guinea,Sub-Saharan Africa,4.949,7.751,0.638,54.468,0.707,0.076,0.762
Niger,Sub-Saharan Africa,4.910,6.842,0.617,53.500,0.760,0.014,0.723
Laos,Southeast Asia,4.889,8.799,0.738,58.710,0.907,0.111,0.635
Albania,Central and Eastern Europe,4.883,9.418,0.671,68.708,0.782,-0.042,0.896
Cambodia,Southeast Asia,4.848,8.250,0.773,61.530,0.960,0.052,0.823
Bangladesh,South Asia,4.833,8.287,0.687,64.503,0.901,-0.034,0.662
Gabon,Sub-Saharan Africa,4.829,9.681,0.788,59.715,0.705,-0.222,0.849
South Africa,Sub-Saharan Africa,4.814,9.403,0.853,56.506,0.759,-0.110,0.843
Iraq,Middle East and North Africa,4.785,9.661,0.748,59.904,0.633,-0.070,0.822
Lebanon,Middle East and North Africa,4.772,9.362,0.824,67.107,0.551,-0.061,0.902
Burkina Faso,Sub-Saharan Africa,4.769,7.469,0.713,53.889,0.666,-0.019,0.740
Gambia,Sub-Saharan Africa,4.751,7.322,0.693,55.012,0.733,0.343,0.691
Mali,Sub-Saharan Africa,4.729,7.630,0.731,51.727,0.712,-0.044,0.839
Nigeria,Sub-Saharan Africa,4.724,8.577,0.737,49.862,0.760,0.034,0.862
Armenia,Commonwealth of Independent States,4.677,9.100,0.757,66.751,0.712,-0.139,0.774
Georgia,Commonwealth of Independent States,4.673,9.226,0.629,64.495,0.802,-0.229,0.666
Iran,Middle East and North Africa,4.672,9.814,0.695,66.006,0.648,0.118,0.715
Jordan,Middle East and North Africa,4.633,9.026,0.802,66.800,0.751,-0.163,0.700
Mozambique,Sub-Saharan Africa,4.624,7.069,0.724,54.206,0.864,0.032,0.683
Kenya,Sub-Saharan Africa,4.583,8.030,0.703,60.097,0.830,0.295,0.831
Namibia,Sub-Saharan Africa,4.571,9.203,0.847,56.501,0.768,-0.185,0.851
Ukraine,Commonwealth of Independent States,4.561,9.011,0.879,64.607,0.663,-0.031,0.921
Liberia,Sub-Saharan Africa,4.558,7.054,0.709,56.096,0.735,0.042,0.856
Palestinian Territories,Middle East and North Africa,4.553,8.389,0.825,62.250,0.646,-0.162,0.824
Uganda,Sub-Saharan Africa,4.432,7.500,0.765,55.708,0.732,0.099,0.837
Chad,Sub-Saharan Africa,4.423,7.468,0.632,48.221,0.587,0.018,0.803
Tunisia,Middle East and North Africa,4.392,9.315,0.689,66.898,0.593,-0.216,0.868
Mauritania,Sub-Saharan Africa,4.375,8.234,0.791,57.010,0.552,-0.106,0.746
Sri Lanka,South Asia,4.327,9.390,0.825,67.200,0.838,0.081,0.859
Congo (Kinshasa),Sub-Saharan Africa,4.311,6.694,0.672,52.900,0.701,0.084,0.809
Swaziland,Sub-Saharan Africa,4.308,9.163,0.770,51.188,0.647,-0.199,0.708
Myanmar,Southeast Asia,4.308,8.680,0.784,58.962,0.895,0.561,0.645
Comoros,Sub-Saharan Africa,4.289,7.834,0.626,57.349,0.548,0.090,0.781
Togo,Sub-Saharan Africa,4.187,7.358,0.551,54.720,0.650,0.003,0.758
Ethiopia,Sub-Saharan Africa,4.186,7.509,0.743,58.640,0.741,0.043,0.754
Madagascar,Sub-Saharan Africa,4.166,7.282,0.668,59.105,0.558,-0.012,0.817
Egypt,Middle East and North Africa,4.151,9.317,0.735,61.780,0.708,-0.197,0.788
Sierra Leone,Sub-Saharan Africa,3.926,7.269,0.636,50.865,0.715,0.089,0.861
Burundi,Sub-Saharan Africa,3.775,6.493,0.490,53.400,0.626,-0.018,0.607
Zambia,Sub-Saharan Africa,3.759,8.225,0.699,55.299,0.807,0.078,0.801
Haiti,Latin America and Caribbean,3.721,7.411,0.593,55.599,0.538,0.401,0.685
Lesotho,Sub-Saharan Africa,3.653,7.960,0.780,48.004,0.738,-0.146,0.857
India,South Asia,3.573,8.850,0.592,60.215,0.881,0.058,0.772
Malawi,Sub-Saharan Africa,3.538,7.062,0.544,57.593,0.803,0.021,0.732
Yemen,Middle East and North Africa,3.527,7.760,0.818,56.727,0.600,-0.158,0.800
Botswana,Sub-Saharan Africa,3.479,9.711,0.779,58.924,0.821,-0.250,0.778
Tanzania,Sub-Saharan Africa,3.476,7.968,0.689,57.496,0.822,0.110,0.620
Central African Republic,Sub-Saharan Africa,3.476,6.625,0.319,45.200,0.641,0.082,0.892
Rwanda,Sub-Saharan Africa,3.312,7.600,0.541,61.099,0.901,0.055,0.184
Zimbabwe,Sub-Saharan Africa,3.299,7.866,0.763,55.617,0.711,-0.072,0.810
South Sudan,Sub-Saharan Africa,2.817,7.425,0.554,51.000,0.451,0.017,0.763
Afghanistan,South Asia,2.567,7.463,0.470,52.590,0.397,-0.096,0.934
