Poland,Central and Eastern Europe,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,0.299,0.707
Kazakhstan,Commonwealth of Independent States,6.152,10.155,0.952,65.200,0.853,-0.069,0.733,0.275,0.764
Romania,Central and Eastern Europe,6.140,10.284,0.832,67.355,0.845,-0.219,0.938,0.355,0.701
Kuwait,Middle East and North Africa,6.106,10.817,0.843,66.900,0.867,-0.104,0.736,,0.865
Serbia,Central and Eastern Europe,6.078,9.787,0.873,68.600,0.778,0.002,0.835,0.358,0.706
El Salvador,Latin America and Caribbean,6.061,9.054,0.762,66.402,0.888,-0.110,0.688,0.384,0.791
Mauritius,Sub-Saharan Africa,6.049,10.008,0.905,66.701,0.867,-0.054,0.789,0.368,0.721
Latvia,Central and Eastern Europe,6.032,10.315,0.927,67.100,0.715,-0.162,0.800,0.349,0.809
Colombia,Latin America and Caribbean,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,0.510,0.827
Hungary,Central and Eastern Europe,5.992,10.358,0.943,68.000,0.755,-0.186,0.876,0.294,0.665
Thailand,Southeast Asia,5.985,9.805,0.888,67.401,0.884,0.287,0.895,0.346,0.771
Nicaragua,Latin America and Caribbean,5.972,8.620,0.864,67.657,0.836,0.020,0.664,0.441,0.810
Japan,East Asia,5.940,10.611,0.884,75.100,0.796,-0.258,0.638,0.329,0.644
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69.000,0.828,-0.182,0.834,0.424,0.812
Portugal,Western Europe,5.929,10.421,0.879,72.600,0.892,-0.244,0.887,0.333,0.705
Honduras,Latin America and Caribbean,5.919,8.648,0.812,67.300,0.857,0.081,0.809,0.476,
Croatia,Central and Eastern Europe,5.882,10.217,0.924,70.799,0.754,-0.118,0.939,0.293,0.685
Philippines,Southeast Asia,5.880,9.076,0.830,62.000,0.917,-0.097,0.742,0.416,0.869
South Korea,East Asia,5.845,10.651,0.799,73.900,0.672,-0.083,0.727,,0.676
Peru,Latin America and Caribbean,5.840,9.458,0.832,68.250,0.822,-0.154,0.891,0.413,0.801
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.590,0.870,68.098,0.706,0.113,0.931,0.323,0.686
Moldova,Commonwealth of Independent States,5.766,9.454,0.857,65.699,0.822,-0.079,0.918,0.248,0.694
Ecuador,Latin America and Caribbean,5.764,9.313,0.821,68.800,0.842,-0.124,0.843,,0.808
Kyrgyzstan,Commonwealth of Independent States,5.744,8.538,0.893,64.401,0.935,0.119,0.908,0.297,0.757
Greece,Western Europe,5.723,10.279,0.823,72.600,0.582,-0.288,0.823,0.330,0.657
Bolivia,Latin America and Caribbean,5.716,9.046,0.810,63.901,0.875,-0.077,0.839,0.415,0.810
Mongolia,East Asia,5.677,9.400,0.935,62.500,0.708,0.116,0.856,0.328,0.744
Paraguay,Latin America and Caribbean,5.653,9.448,0.893,65.900,0.876,0.028,0.882,0.455,0.816
Montenegro,Central and Eastern Europe,5.581,9.940,0.858,68.699,0.708,-0.034,0.812,0.385,0.684
Dominican Republic,Latin America and Caribbean,5.545,9.802,0.853,66.102,0.860,-0.133,0.714,0.417,
North Cyprus,Western Europe,5.536,10.576,0.820,73.898,0.795,0.012,0.626,,
Belarus,Commonwealth of Independent States,5.534,9.853,0.910,66.253,0.650,-0.180,0.627,0.251,0.667
Russia,Commonwealth of Independent States,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,0.366,0.878
Hong Kong S.A.R. of China,East Asia,5.477,11.000,0.836,76.820,0.717,0.067,0.403,,0.746
Tajikistan,Commonwealth of Independent States,5.466,8.091,0.860,64.281,0.832,-0.056,0.553,0.348,0.731
Vietnam,Southeast Asia,5.411,8.973,0.850,68.034,0.940,-0.098,0.796,0.356,0.802
Libya,Middle East and North Africa,5.410,9.622,0.827,62.300,0.771,-0.087,0.667,,0.760
Malaysia,Southeast Asia,5.384,10.238,0.817,67.102,0.895,0.125,0.839,0.394,0.829
Indonesia,Southeast Asia,5.345,9.365,0.811,62.236,0.873,0.542,0.867,0.383,0.777
Congo (Brazzaville),Sub-Saharan Africa,5.342,8.117,0.636,58.221,0.695,-0.068,0.745,0.494,0.847
China,East Asia,5.339,9.673,0.811,69.593,0.904,-0.146,0.755,,0.704
Ivory Coast,Sub-Saharan Africa,5.306,8.551,0.644,50.114,0.741,-0.016,0.794,0.405,
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,0.302,0.730
Nepal,South Asia,5.269,8.120,0.774,64.233,0.782,0.152,0.727,0.346,0.781
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67.000,0.788,-0.096,0.932,0.412,0.701
Maldives,South Asia,5.198,9.826,0.913,70.600,0.854,0.024,0.825,,0.798
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,0.225,0.727
Cameroon,Sub-Saharan Africa,5.142,8.189,0.710,53.515,0.731,0.026,0.848,0.467,0.816
Senegal,Sub-Saharan Africa,5.132,8.118,0.710,59.802,0.695,-0.046,0.801,0.402,0.797
Albania,Central and Eastern Europe,5.117,9.520,0.697,68.999,0.785,-0.030,0.901,0.330,0.682
North Macedonia,Central and Eastern Europe,5.101,9.693,0.805,65.474,0.751,0.038,0.905,0.329,
Ghana,Sub-Saharan Africa,5.088,8.580,0.727,57.586,0.807,0.123,0.848,0.435,0.775
Niger,Sub-Saharan Africa,5.074,7.098,0.641,53.780,0.806,0.018,0.693,0.351,0.756
Turkmenistan,Commonwealth of Independent States,5.066,9.629,0.983,62.409,0.877,0.273,0.888,,0.706
Gambia,Sub-Saharan Africa,5.051,7.686,0.690,55.160,0.697,0.424,0.746,0.353,0.849
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,0.478,0.782
Laos,Southeast Asia,5.030,8.947,0.728,58.968,0.910,0.123,0.658,0.389,0.879
Bangladesh,South Asia,5.025,8.454,0.693,64.800,0.877,-0.041,0.682,0.326,0.752
Guinea,Sub-Saharan Africa,4.984,7.838,0.639,55.008,0.697,0.095,0.766,0.337,0.808
South Africa,Sub-Saharan Africa,4.956,9.403,0.860,56.904,0.749,-0.067,0.860,0.627,0.880
Turkey,Middle East and North Africa,4.948,10.240,0.822,67.199,0.576,-0.139,0.776,0.422,0.818
Pakistan,South Asia,4.934,8.458,0.651,58.709,0.726,0.098,0.787,0.317,0.732
Morocco,Middle East and North Africa,4.918,8.903,0.560,66.208,0.774,-0.236,0.801,0.395,0.819
Venezuela,Latin America and Caribbean,4.892,9.073,0.861,66.700,0.615,-0.169,0.827,,0.781
Georgia,Commonwealth of Independent States,4.891,9.585,0.671,64.300,0.783,-0.238,0.655,0.356,0.813
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.480,-0.067,0.752,0.323,0.848
Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.724,-0.011,0.924,0.267,0.844
Iraq,Middle East and North Africa,4.854,9.240,0.746,60.583,0.630,-0.053,0.875,0.330,0.710
Gabon,Sub-Saharan Africa,4.852,9.603,0.776,59.962,0.731,-0.200,0.840,0.380,0.793
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,0.338,0.768
Cambodia,Southeast Asia,4.830,8.360,0.765,62.000,0.959,0.034,0.843,,0.787
Mozambique,Sub-Saharan Africa,4.794,7.158,0.744,54.706,0.882,0.061,0.684,0.539,0.791
Nigeria,Sub-Saharan Africa,4.759,8.533,0.740,50.102,0.737,0.037,0.878,0.351,0.858
Mali,Sub-Saharan Africa,4.723,7.744,0.724,51.969,0.697,-0.036,0.827,,0.776
Iran,Middle East and North Africa,4.721,9.584,0.710,66.300,0.608,0.218,0.714,0.425,0.786
Uganda,Sub-Saharan Africa,4.636,7.677,0.781,56.101,0.709,0.122,0.855,0.428,0.804
Liberia,Sub-Saharan Africa,4.625,7.288,0.720,56.498,0.735,0.050,0.850,,0.801
Kenya,Sub-Saharan Africa,4.607,8.361,0.688,60.704,0.779,0.287,0.825,0.408,0.822
Tunisia,Middle East and North Africa,4.596,9.266,0.691,67.201,0.656,-0.201,0.870,0.341,0.778
Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,0.365,0.797
Namibia,Sub-Saharan Africa,4.574,9.161,0.818,56.799,0.719,-0.149,0.847,0.592,0.866
Palestinian Territories,Middle East and North Africa,4.517,8.485,0.826,62.250,0.653,-0.163,0.821,,
Myanmar,Southeast Asia,4.426,8.541,0.779,59.302,0.876,0.509,0.660,0.309,0.670
Jordan,Middle East and North Africa,4.395,9.182,0.767,67.000,0.755,-0.167,0.705,0.390,0.759
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,0.438,0.806
Sri Lanka,South Asia,4.325,9.470,0.827,67.299,0.841,0.079,0.863,0.395,0.768
Swaziland,Sub-Saharan Africa,4.308,9.065,0.770,50.833,0.647,-0.185,0.708,,
Comoros,Sub-Saharan Africa,4.289,8.031,0.626,57.349,0.548,0.082,0.781,,0.848
Egypt,Middle East and North Africa,4.283,9.367,0.750,61.998,0.749,-0.182,0.795,0.315,0.792
Ethiopia,Sub-Saharan Africa,4.275,7.694,0.764,59.000,0.752,0.082,0.761,0.368,0.711
Mauritania,Sub-Saharan Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,,0.763
Madagascar,Sub-Saharan Africa,4.208,7.396,0.686,59.305,0.552,-0.005,0.803,0.431,0.793
Togo,Sub-Saharan Africa,4.107,7.362,0.569,54.914,0.619,0.032,0.772,0.413,0.812
Zambia,Sub-Saharan Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823,0.581,0.877
Sierra Leone,Sub-Saharan Africa,3.849,7.434,0.630,51.651,0.717,0.084,0.866,,0.767
India,South Asia,3.819,8.755,0.603,60.633,0.893,0.089,0.774,0.359,0.823
Burundi,Sub-Saharan Africa,3.775,6.635,0.490,53.400,0.626,-0.024,0.607,0.386,0.751
Yemen,Middle East and North Africa,3.658,7.578,0.832,57.122,0.602,-0.147,0.800,,0.880
Tanzania,Sub-Saharan Africa,3.623,7.876,0.702,57.999,0.833,0.183,0.577,0.405,0.745
Haiti,Latin America and Caribbean,3.615,7.477,0.540,55.700,0.593,0.422,0.721,0.392,0.852
Malawi,Sub-Saharan Africa,3.600,6.958,0.537,57.948,0.780,0.038,0.729,0.447,0.824
Lesotho,Sub-Saharan Africa,3.512,7.926,0.787,48.700,0.715,-0.131,0.915,0.449,0.886
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,0.534,0.873
Rwanda,Sub-Saharan Africa,3.415,7.676,0.552,61.400,0.897,0.061,0.167,0.437,0.819
Zimbabwe,Sub-Saharan Africa,3.145,7.943,0.750,56.201,0.677,-0.047,0.821,0.503,0.798
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,,0.728
